epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9677,1.20922,1.42663,0.83625,0.33821,0.42943,0.08903,0.05263,1.12647,inf,0.80331,0.000405983,0.000405983,0.000405983
2,64.1389,1.17974,0.7405,0.81817,0.72796,0.61918,0.65071,0.39759,1.05556,0.72252,0.80371,0.000814505,0.000814505,0.000814505
3,98.083,1.24667,0.7102,0.82056,0.63258,0.62551,0.57373,0.31649,1.23414,1.16201,0.81635,0.00121478,0.00121478,0.00121478
4,129.096,1.27562,0.67911,0.82128,0.87278,0.62709,0.70054,0.42611,1.1485,0.75697,0.81426,0.00121287,0.00121287,0.00121287
5,161.222,1.19292,0.63177,0.81197,0.82871,0.60795,0.68272,0.41951,1.04088,0.62213,0.8088,0.0012005,0.0012005,0.0012005
6,194.228,1.09458,0.5817,0.80636,0.8206,0.67375,0.72181,0.46125,0.99255,0.55604,0.80219,0.00118812,0.00118812,0.00118812
7,226.628,1.11396,0.56894,0.8083,0.90171,0.60213,0.69361,0.44878,0.99993,0.54867,0.80592,0.00117575,0.00117575,0.00117575
8,259.476,1.06144,0.54233,0.8026,0.89622,0.57698,0.67222,0.41964,1.05646,0.58131,0.80843,0.00116337,0.00116337,0.00116337
9,292.479,1.06362,0.55345,0.80353,0.56147,0.66944,0.47489,0.28637,0.99091,inf,0.80045,0.001151,0.001151,0.001151
10,327.368,1.02571,0.53434,0.80381,0.89647,0.71145,0.78117,0.46628,0.98177,0.50763,0.8007,0.00113863,0.00113863,0.00113863
11,359.769,1.06982,0.54426,0.8028,0.81123,0.70341,0.7377,0.49476,0.95851,0.49851,0.79768,0.00112625,0.00112625,0.00112625
12,392.089,1.01355,0.50911,0.80052,0.8899,0.62663,0.75743,0.48155,0.95099,0.49452,0.80032,0.00111388,0.00111388,0.00111388
13,423.337,1.03039,0.50911,0.80123,0.89137,0.62647,0.7046,0.45176,0.94163,0.48221,0.80142,0.0011015,0.0011015,0.0011015
14,454.066,0.95993,0.47761,0.79514,0.79851,0.70067,0.73289,0.47966,0.91943,0.50849,0.79229,0.00108913,0.00108913,0.00108913
15,487.254,1.00837,0.5071,0.79899,0.89407,0.68849,0.7757,0.51971,0.90451,0.47533,0.79352,0.00107675,0.00107675,0.00107675
16,519.33,0.95423,0.47233,0.79746,0.83351,0.70487,0.7605,0.50093,0.95051,0.48122,0.79748,0.00106437,0.00106437,0.00106437
17,550.566,0.97753,0.47715,0.79694,0.82679,0.70906,0.75379,0.50974,0.85115,0.44747,0.79425,0.001052,0.001052,0.001052
18,581.946,0.94075,0.45487,0.79434,0.9066,0.70816,0.78633,0.5071,0.93529,0.47604,0.79642,0.00103962,0.00103962,0.00103962
19,612.79,0.96532,0.46575,0.79385,0.86537,0.70125,0.75834,0.49585,0.93843,0.46764,0.79531,0.00102725,0.00102725,0.00102725
20,643.902,0.99669,0.47438,0.79587,0.90637,0.71516,0.78026,0.53732,0.84502,0.42646,0.78941,0.00101488,0.00101488,0.00101488
21,678.576,0.92134,0.44188,0.79313,0.88792,0.74913,0.79086,0.54827,0.83964,0.41887,0.79018,0.0010025,0.0010025,0.0010025
22,715.397,0.94269,0.45044,0.79346,0.92992,0.703,0.76945,0.51467,0.8846,0.44115,0.79062,0.000990125,0.000990125,0.000990125
23,746.302,0.92753,0.45031,0.79524,0.84969,0.7138,0.78629,0.53945,0.81578,0.42823,0.79146,0.00097775,0.00097775,0.00097775
24,777.247,0.92429,0.45132,0.79073,0.87619,0.72499,0.7899,0.5402,0.83061,0.42867,0.78979,0.000965375,0.000965375,0.000965375
25,808.378,0.90014,0.43087,0.79137,0.83415,0.67404,0.75641,0.51953,0.83039,0.43177,0.78935,0.000953,0.000953,0.000953
26,839.439,0.92153,0.44316,0.79237,0.84062,0.73125,0.78955,0.52012,0.85668,0.4427,0.7965,0.000940625,0.000940625,0.000940625
27,870.346,0.91491,0.44658,0.79389,0.87612,0.69777,0.77539,0.52742,0.87058,0.43757,0.79101,0.00092825,0.00092825,0.00092825
28,901.447,0.88791,0.4294,0.78735,0.88145,0.70063,0.78697,0.54238,0.79887,0.43625,0.78777,0.000915875,0.000915875,0.000915875
29,932.229,0.89105,0.43569,0.79089,0.87925,0.7514,0.80346,0.55448,0.80788,0.42166,0.7883,0.0009035,0.0009035,0.0009035
30,966.33,0.87104,0.41932,0.78759,0.88443,0.73253,0.79732,0.52517,0.84582,0.41155,0.78892,0.000891125,0.000891125,0.000891125
31,997.316,0.89758,0.4299,0.78961,0.91137,0.7191,0.7931,0.54628,0.8019,0.40511,0.78883,0.00087875,0.00087875,0.00087875
32,1028.51,0.87153,0.41081,0.78936,0.94371,0.73346,0.81353,0.57254,0.80701,0.40814,0.79093,0.000866375,0.000866375,0.000866375
33,1062.93,0.85044,0.40616,0.78785,0.9221,0.73596,0.78613,0.54666,0.80055,0.41047,0.78869,0.000854,0.000854,0.000854
34,1094.03,0.85278,0.40579,0.78664,0.88099,0.72642,0.77585,0.52273,0.85816,0.42457,0.79059,0.000841625,0.000841625,0.000841625
35,1124.81,0.89525,0.4298,0.7883,0.94588,0.69114,0.79003,0.52378,0.86208,0.42274,0.79094,0.00082925,0.00082925,0.00082925
36,1156.09,0.92758,0.43786,0.7893,0.9015,0.71966,0.78878,0.51097,0.87414,0.41622,0.79345,0.000816875,0.000816875,0.000816875
37,1186.74,0.86193,0.42069,0.78653,0.92388,0.72331,0.80762,0.54817,0.806,0.39908,0.79003,0.0008045,0.0008045,0.0008045
38,1218.03,0.85468,0.40188,0.78696,0.93561,0.69722,0.79272,0.53324,0.84758,0.41296,0.79311,0.000792125,0.000792125,0.000792125
39,1250.85,0.8757,0.40774,0.78853,0.92777,0.75527,0.81349,0.55558,0.80258,0.39944,0.78814,0.00077975,0.00077975,0.00077975
40,1282.13,0.83266,0.39143,0.78551,0.94899,0.74898,0.83008,0.58039,0.74627,0.39676,0.78518,0.000767375,0.000767375,0.000767375
41,1316.04,0.82676,0.38822,0.7854,0.92174,0.7442,0.81456,0.57479,0.75115,0.39827,0.78597,0.000755,0.000755,0.000755
42,1347.23,0.82891,0.39197,0.78738,0.91403,0.75109,0.80343,0.56576,0.78548,0.4105,0.78854,0.000742625,0.000742625,0.000742625
43,1378.23,0.83016,0.3943,0.78707,0.90193,0.72504,0.79696,0.56653,0.78058,0.39929,0.78595,0.00073025,0.00073025,0.00073025
44,1409.53,0.8748,0.40846,0.78957,0.8822,0.74842,0.79696,0.54426,0.87321,0.42644,0.79033,0.000717875,0.000717875,0.000717875
45,1440.72,0.83859,0.39558,0.78625,0.90998,0.75369,0.80704,0.57653,0.7467,0.37942,0.78521,0.0007055,0.0007055,0.0007055
46,1471.54,0.8118,0.37765,0.78494,0.83617,0.74738,0.79452,0.56649,0.77057,0.40054,0.78556,0.000693125,0.000693125,0.000693125
47,1504.64,0.80731,0.38233,0.7861,0.82099,0.73225,0.78194,0.54739,0.7784,0.39883,0.78572,0.00068075,0.00068075,0.00068075
48,1539.84,0.82043,0.38419,0.78509,0.91316,0.77108,0.80738,0.56425,0.77575,0.39329,0.78636,0.000668375,0.000668375,0.000668375
49,1570.95,0.8064,0.37974,0.78296,0.95102,0.76394,0.80855,0.56873,0.75668,0.3803,0.78535,0.000656,0.000656,0.000656
50,1602.16,0.77859,0.36623,0.78401,0.95213,0.7223,0.80323,0.56353,0.74576,0.37955,0.78443,0.000643625,0.000643625,0.000643625
51,1633.16,0.80074,0.37623,0.78359,0.9237,0.74409,0.81485,0.56778,0.79904,0.39808,0.78466,0.00063125,0.00063125,0.00063125
52,1663.89,0.80172,0.37649,0.7845,0.88026,0.76731,0.80931,0.58026,0.76453,0.38072,0.78593,0.000618875,0.000618875,0.000618875
53,1695.11,0.80548,0.38031,0.78294,0.9234,0.7473,0.81237,0.57178,0.76801,0.38722,0.78631,0.0006065,0.0006065,0.0006065
54,1728.09,0.80388,0.37422,0.78343,0.90411,0.76358,0.80837,0.58107,0.74991,0.37826,0.78537,0.000594125,0.000594125,0.000594125
55,1759.33,0.77921,0.3623,0.78068,0.87539,0.70268,0.79063,0.57656,0.73144,0.38276,0.78401,0.00058175,0.00058175,0.00058175
56,1790.11,0.78096,0.36304,0.78335,0.92326,0.71341,0.80807,0.55998,0.75805,0.38597,0.78512,0.000569375,0.000569375,0.000569375
57,1821.11,0.77543,0.36335,0.7809,0.94269,0.71003,0.81414,0.55998,0.76536,0.38763,0.78541,0.000557,0.000557,0.000557
58,1851.69,0.77851,0.36456,0.78014,0.9035,0.7254,0.80368,0.5798,0.74532,0.38343,0.78512,0.000544625,0.000544625,0.000544625
59,1882.65,0.75829,0.35611,0.7852,0.91988,0.75999,0.81919,0.58213,0.74608,0.39951,0.7849,0.00053225,0.00053225,0.00053225
60,1917.33,0.7739,0.36455,0.78228,0.88065,0.7703,0.81775,0.57326,0.77504,0.38976,0.78416,0.000519875,0.000519875,0.000519875
61,1953.28,0.77445,0.36133,0.78146,0.90989,0.75889,0.82509,0.56868,0.74996,0.3855,0.7838,0.0005075,0.0005075,0.0005075
62,1984.57,0.76263,0.35666,0.78063,0.92844,0.75387,0.82839,0.58436,0.73497,0.37561,0.78401,0.000495125,0.000495125,0.000495125
63,2016.74,0.77053,0.36022,0.78181,0.96429,0.75003,0.82962,0.58998,0.74157,0.36661,0.78369,0.00048275,0.00048275,0.00048275
64,2051.33,0.74209,0.34664,0.78251,0.96896,0.76467,0.83135,0.59377,0.73847,0.37248,0.78389,0.000470375,0.000470375,0.000470375
65,2088.23,0.72601,0.34167,0.7806,0.93241,0.73882,0.80061,0.56461,0.73734,0.37172,0.78455,0.000458,0.000458,0.000458
66,2121.43,0.75037,0.35138,0.78006,0.89407,0.72886,0.81491,0.58202,0.75592,0.3892,0.785,0.000445625,0.000445625,0.000445625
67,2152.59,0.77301,0.36094,0.78187,0.89716,0.76131,0.8021,0.57062,0.74285,0.37704,0.78547,0.00043325,0.00043325,0.00043325
68,2183.39,0.74296,0.34601,0.78277,0.92131,0.7562,0.82624,0.59282,0.70549,0.36667,0.7827,0.000420875,0.000420875,0.000420875
69,2214.23,0.73013,0.341,0.78095,0.94581,0.72426,0.8082,0.56845,0.73451,0.3818,0.7847,0.0004085,0.0004085,0.0004085
70,2245.04,0.73054,0.34421,0.7801,0.96302,0.75306,0.83282,0.58699,0.74604,0.37902,0.78372,0.000396125,0.000396125,0.000396125
71,2276.35,0.7268,0.34147,0.77774,0.94781,0.74191,0.82666,0.57766,0.75923,0.38267,0.78506,0.00038375,0.00038375,0.00038375
72,2307.16,0.72574,0.34409,0.77791,0.97344,0.72891,0.81457,0.58459,0.72062,0.3679,0.78351,0.000371375,0.000371375,0.000371375
73,2338.11,0.72772,0.34203,0.78021,0.89178,0.76129,0.82469,0.59064,0.72853,0.37653,0.78303,0.000359,0.000359,0.000359
74,2369.27,0.71396,0.33784,0.78058,0.96478,0.75047,0.8253,0.59667,0.73786,0.38003,0.78474,0.000346625,0.000346625,0.000346625
75,2401.38,0.72071,0.33315,0.7804,0.94244,0.72296,0.82179,0.58418,0.71777,0.37325,0.78448,0.00033425,0.00033425,0.00033425
